schema_version,model,seed,season,spearman,slot_weeks
1,base-rate-only,-1,2011,0.38255300488,51
1,current-season-rate,-1,2011,0.259512599578,50
1,historical-rate,-1,2011,0.375996988061,51
1,no-vegas,-1,2011,0.403696870566,51
1,player-vegas,-1,2011,0.3546012174,51
1,random,0,2011,0.013564234697,51
1,random,1,2011,0.0326606332436,51
1,random,2,2011,0.00640612338523,51
1,random,3,2011,-0.00195343898628,51
1,random,4,2011,0.048675285144,51
1,random,5,2011,-0.00474119463825,51
1,random,6,2011,-0.0257358172774,51
1,random,7,2011,-0.0128663408689,51
1,random,8,2011,0.00763449934359,51
1,random,9,2011,0.0156894077607,51
1,random,10,2011,0.0203896915725,51
1,random,11,2011,-0.028657532233,51
1,random,12,2011,-0.00391598755872,51
1,random,13,2011,0.0293259538404,51
1,random,14,2011,0.025847863474,51
1,random,15,2011,0.003561846002,51
1,random,16,2011,0.0265528091372,51
1,random,17,2011,-0.0072386374172,51
1,random,18,2011,0.0198365944632,51
1,random,19,2011,0.0213410223217,51
1,regressed-rate,-1,2011,0.321032774014,51
1,shipped,-1,2011,0.398492513855,51
1,vegas-environment,-1,2011,0.350973314855,51
1,within-player,0,2011,0.396504447521,51
1,within-player,1,2011,0.395885585114,51
1,within-player,2,2011,0.396884237357,51
1,within-player,3,2011,0.397191194436,51
1,within-player,4,2011,0.396957027014,51
1,within-player,5,2011,0.394951942706,51
1,within-player,6,2011,0.396531874922,51
1,within-player,7,2011,0.3966589738,51
1,within-player,8,2011,0.400975565544,51
1,within-player,9,2011,0.393593349191,51
1,within-player,10,2011,0.397329581939,51
1,within-player,11,2011,0.396511099835,51
1,within-player,12,2011,0.399408076275,51
1,within-player,13,2011,0.400054397686,51
1,within-player,14,2011,0.400261170428,51
1,within-player,15,2011,0.39790021231,51
1,within-player,16,2011,0.395678318661,51
1,within-player,17,2011,0.396691060167,51
1,within-player,18,2011,0.397574655719,51
1,within-player,19,2011,0.400992557471,51
1,base-rate-only,-1,2012,0.37435883253,51
1,current-season-rate,-1,2012,0.189040951952,50
1,historical-rate,-1,2012,0.332394801011,51
1,no-vegas,-1,2012,0.408025048779,51
1,player-vegas,-1,2012,0.359283110271,51
1,random,0,2012,0.00238011464796,51
1,random,1,2012,0.0302033121192,51
1,random,2,2012,0.0134688072755,51
1,random,3,2012,-0.00325727149007,51
1,random,4,2012,0.0106656750796,51
1,random,5,2012,0.00839860708131,51
1,random,6,2012,-0.0311799183042,51
1,random,7,2012,-0.0151833618838,51
1,random,8,2012,-0.0242845267411,51
1,random,9,2012,0.00680218602898,51
1,random,10,2012,0.00539854764893,51
1,random,11,2012,0.00320809617412,51
1,random,12,2012,0.00393607812537,51
1,random,13,2012,0.0468986196552,51
1,random,14,2012,0.00586450307677,51
1,random,15,2012,0.000819494787817,51
1,random,16,2012,0.00133091649303,51
1,random,17,2012,0.017941587072,51
1,random,18,2012,0.00325799766578,51
1,random,19,2012,-0.0196991282328,51
1,regressed-rate,-1,2012,0.304333141878,51
1,shipped,-1,2012,0.4079350888,51
1,vegas-environment,-1,2012,0.371456752106,51
1,within-player,0,2012,0.396715919294,51
1,within-player,1,2012,0.400941154403,51
1,within-player,2,2012,0.402575643754,51
1,within-player,3,2012,0.39945304666,51
1,within-player,4,2012,0.400548922002,51
1,within-player,5,2012,0.403410593884,51
1,within-player,6,2012,0.402892666447,51
1,within-player,7,2012,0.399252702514,51
1,within-player,8,2012,0.401040621581,51
1,within-player,9,2012,0.397245381207,51
1,within-player,10,2012,0.394479789003,51
1,within-player,11,2012,0.397830449862,51
1,within-player,12,2012,0.402944179542,51
1,within-player,13,2012,0.396581371751,51
1,within-player,14,2012,0.397724698827,51
1,within-player,15,2012,0.401828365906,51
1,within-player,16,2012,0.396791006249,51
1,within-player,17,2012,0.397126475515,51
1,within-player,18,2012,0.39680735283,51
1,within-player,19,2012,0.405450000945,51
1,base-rate-only,-1,2013,0.380573717252,51
1,current-season-rate,-1,2013,0.208514744214,51
1,historical-rate,-1,2013,0.36966809386,51
1,no-vegas,-1,2013,0.424881521841,51
1,player-vegas,-1,2013,0.348794456493,51
1,random,0,2013,-0.0132731841926,51
1,random,1,2013,0.0240714807146,51
1,random,2,2013,-0.000556655994063,51
1,random,3,2013,-0.00619817610073,51
1,random,4,2013,-0.00537901680203,51
1,random,5,2013,0.0250899050968,51
1,random,6,2013,0.00870895789288,51
1,random,7,2013,-0.0169110570332,51
1,random,8,2013,0.00961271251758,51
1,random,9,2013,0.0306081658421,51
1,random,10,2013,0.00761479362334,51
1,random,11,2013,-0.00699745488006,51
1,random,12,2013,-0.0113495498438,51
1,random,13,2013,0.0421905244987,51
1,random,14,2013,0.013437494267,51
1,random,15,2013,-0.00992589836028,51
1,random,16,2013,0.0114899058607,51
1,random,17,2013,-0.00542780471922,51
1,random,18,2013,0.00466324106276,51
1,random,19,2013,-0.00353103651873,51
1,regressed-rate,-1,2013,0.329525096916,51
1,shipped,-1,2013,0.423044533905,51
1,vegas-environment,-1,2013,0.386045181025,51
1,within-player,0,2013,0.419328850827,51
1,within-player,1,2013,0.42015287457,51
1,within-player,2,2013,0.421564754819,51
1,within-player,3,2013,0.422128437801,51
1,within-player,4,2013,0.417652410909,51
1,within-player,5,2013,0.416450988421,51
1,within-player,6,2013,0.420923363167,51
1,within-player,7,2013,0.420798891366,51
1,within-player,8,2013,0.417333557911,51
1,within-player,9,2013,0.416501662441,51
1,within-player,10,2013,0.420310203428,51
1,within-player,11,2013,0.420993944565,51
1,within-player,12,2013,0.419802790468,51
1,within-player,13,2013,0.419523054949,51
1,within-player,14,2013,0.419702060703,51
1,within-player,15,2013,0.42074193219,51
1,within-player,16,2013,0.418971557815,51
1,within-player,17,2013,0.41967786419,51
1,within-player,18,2013,0.419152201378,51
1,within-player,19,2013,0.421997452635,51
1,base-rate-only,-1,2014,0.370790981535,51
1,current-season-rate,-1,2014,0.216873730179,51
1,historical-rate,-1,2014,0.338134293355,51
1,no-vegas,-1,2014,0.385997949815,51
1,player-vegas,-1,2014,0.354376125912,51
1,random,0,2014,0.00696096591711,51
1,random,1,2014,0.0270868775119,51
1,random,2,2014,0.00718234962914,51
1,random,3,2014,0.0142180168597,51
1,random,4,2014,0.00757148164105,51
1,random,5,2014,-0.0170907875621,51
1,random,6,2014,-0.0117833271905,51
1,random,7,2014,-0.00779477697599,51
1,random,8,2014,0.00609736754198,51
1,random,9,2014,0.0260225992971,51
1,random,10,2014,0.021094633172,51
1,random,11,2014,0.0143465537227,51
1,random,12,2014,0.0326086030415,51
1,random,13,2014,0.0252243718456,51
1,random,14,2014,0.00252037939401,51
1,random,15,2014,-0.0129847007613,51
1,random,16,2014,0.00979629108129,51
1,random,17,2014,-0.00485181777278,51
1,random,18,2014,-0.0103834224147,51
1,random,19,2014,0.00846137444752,51
1,regressed-rate,-1,2014,0.3161850571,51
1,shipped,-1,2014,0.384911304863,51
1,vegas-environment,-1,2014,0.352076355838,51
1,within-player,0,2014,0.38415864313,51
1,within-player,1,2014,0.38280386425,51
1,within-player,2,2014,0.383369355705,51
1,within-player,3,2014,0.380309342904,51
1,within-player,4,2014,0.383793703403,51
1,within-player,5,2014,0.381988532003,51
1,within-player,6,2014,0.375983873118,51
1,within-player,7,2014,0.380485849306,51
1,within-player,8,2014,0.382265974979,51
1,within-player,9,2014,0.382402807274,51
1,within-player,10,2014,0.385773274775,51
1,within-player,11,2014,0.381326546569,51
1,within-player,12,2014,0.383676821115,51
1,within-player,13,2014,0.383090133615,51
1,within-player,14,2014,0.382758142651,51
1,within-player,15,2014,0.376139480588,51
1,within-player,16,2014,0.381329129408,51
1,within-player,17,2014,0.381734408344,51
1,within-player,18,2014,0.377706287628,51
1,within-player,19,2014,0.381260058613,51
1,base-rate-only,-1,2015,0.354605140689,51
1,current-season-rate,-1,2015,0.198094007923,50
1,historical-rate,-1,2015,0.285132067442,51
1,no-vegas,-1,2015,0.379085319131,51
1,player-vegas,-1,2015,0.340083912059,51
1,random,0,2015,0.00522847642761,51
1,random,1,2015,0.0292711752638,51
1,random,2,2015,-0.00928403487946,51
1,random,3,2015,-0.0106189514639,51
1,random,4,2015,-0.000171541006961,51
1,random,5,2015,-0.00189305129805,51
1,random,6,2015,0.0191076358041,51
1,random,7,2015,0.00687150444769,51
1,random,8,2015,-0.000347503805493,51
1,random,9,2015,0.0349039516303,51
1,random,10,2015,-0.0127972191531,51
1,random,11,2015,0.0229133534327,51
1,random,12,2015,-0.00819913610617,51
1,random,13,2015,0.0262217867284,51
1,random,14,2015,0.0140590917176,51
1,random,15,2015,-0.0248644176609,51
1,random,16,2015,-0.000629609321902,51
1,random,17,2015,-0.00836864740429,51
1,random,18,2015,0.0221208777717,51
1,random,19,2015,0.00889005985534,51
1,regressed-rate,-1,2015,0.279657135632,51
1,shipped,-1,2015,0.377587086107,51
1,vegas-environment,-1,2015,0.34267605323,51
1,within-player,0,2015,0.373519337333,51
1,within-player,1,2015,0.377591297194,51
1,within-player,2,2015,0.372812262887,51
1,within-player,3,2015,0.376653103839,51
1,within-player,4,2015,0.373869518217,51
1,within-player,5,2015,0.377235586423,51
1,within-player,6,2015,0.377820537126,51
1,within-player,7,2015,0.376125637142,51
1,within-player,8,2015,0.379101543184,51
1,within-player,9,2015,0.376920073552,51
1,within-player,10,2015,0.376189461752,51
1,within-player,11,2015,0.375196129869,51
1,within-player,12,2015,0.379785629027,51
1,within-player,13,2015,0.373552096775,51
1,within-player,14,2015,0.37039369755,51
1,within-player,15,2015,0.3800119015,51
1,within-player,16,2015,0.374705000782,51
1,within-player,17,2015,0.376566454077,51
1,within-player,18,2015,0.380348086889,51
1,within-player,19,2015,0.371121178115,51
1,base-rate-only,-1,2016,0.350357234644,51
1,current-season-rate,-1,2016,0.147707331157,51
1,historical-rate,-1,2016,0.349478362602,51
1,no-vegas,-1,2016,0.401197200285,51
1,player-vegas,-1,2016,0.335508454015,51
1,random,0,2016,0.0161879394079,51
1,random,1,2016,0.00927095009474,51
1,random,2,2016,-0.0238937619677,51
1,random,3,2016,-0.0184055739549,51
1,random,4,2016,0.0181868232965,51
1,random,5,2016,-0.0326446401527,51
1,random,6,2016,0.013479860698,51
1,random,7,2016,-0.0137919925941,51
1,random,8,2016,0.0219109454128,51
1,random,9,2016,0.0288760297016,51
1,random,10,2016,0.00260946579475,51
1,random,11,2016,0.00101577501334,51
1,random,12,2016,0.00486928262073,51
1,random,13,2016,0.00185434381262,51
1,random,14,2016,0.0159324553607,51
1,random,15,2016,-0.00776557474952,51
1,random,16,2016,0.0196456654988,51
1,random,17,2016,0.00225530840889,51
1,random,18,2016,0.0443873379109,51
1,random,19,2016,0.0168244940473,51
1,regressed-rate,-1,2016,0.300866317503,51
1,shipped,-1,2016,0.397339967181,51
1,vegas-environment,-1,2016,0.3768500882,51
1,within-player,0,2016,0.391698932384,51
1,within-player,1,2016,0.389875555019,51
1,within-player,2,2016,0.394922080497,51
1,within-player,3,2016,0.388639484687,51
1,within-player,4,2016,0.391841567086,51
1,within-player,5,2016,0.390589423871,51
1,within-player,6,2016,0.390510583304,51
1,within-player,7,2016,0.39091834669,51
1,within-player,8,2016,0.393033959758,51
1,within-player,9,2016,0.393217343569,51
1,within-player,10,2016,0.395412168745,51
1,within-player,11,2016,0.391158441203,51
1,within-player,12,2016,0.389936413054,51
1,within-player,13,2016,0.390560472723,51
1,within-player,14,2016,0.391086773778,51
1,within-player,15,2016,0.393393670902,51
1,within-player,16,2016,0.39105966833,51
1,within-player,17,2016,0.390688180201,51
1,within-player,18,2016,0.392718680362,51
1,within-player,19,2016,0.388246700526,51
1,base-rate-only,-1,2017,0.30000290208,51
1,current-season-rate,-1,2017,0.0771705147098,51
1,historical-rate,-1,2017,0.311413241304,51
1,no-vegas,-1,2017,0.367528006117,51
