schema_version,model,seed,season,n,deviance
1,base-rate-only,-1,2011,1329,1.02116411519
1,current-season-rate,-1,2011,1329,1.08033688293
1,historical-rate,-1,2011,1329,1.94000310244
1,no-vegas,-1,2011,1329,1.04179883632
1,player-vegas,-1,2011,1329,1.01548587306
1,random,0,2011,1329,2.31976992494
1,random,1,2011,1329,2.15883430188
1,random,2,2011,1329,2.4600696001
1,random,3,2011,1329,2.27388861159
1,random,4,2011,1329,2.24569917385
1,random,5,2011,1329,2.50301594668
1,random,6,2011,1329,2.5625067893
1,random,7,2011,1329,2.51246374697
1,random,8,2011,1329,2.38381049025
1,random,9,2011,1329,2.25878300339
1,random,10,2011,1329,2.27153897714
1,random,11,2011,1329,2.48373785336
1,random,12,2011,1329,2.45407455979
1,random,13,2011,1329,2.37809572196
1,random,14,2011,1329,2.30423680322
1,random,15,2011,1329,2.31647902593
1,random,16,2011,1329,2.30088514283
1,random,17,2011,1329,2.34491694979
1,random,18,2011,1329,2.17626141099
1,random,19,2011,1329,2.42134232365
1,regressed-rate,-1,2011,1329,1.06763277793
1,shipped,-1,2011,1329,1.0307973629
1,vegas-environment,-1,2011,1329,1.12262608564
1,within-player,0,2011,1329,1.03987763777
1,within-player,1,2011,1329,1.03956092232
1,within-player,2,2011,1329,1.0355892217
1,within-player,3,2011,1329,1.0414524101
1,within-player,4,2011,1329,1.0400350159
1,within-player,5,2011,1329,1.03940796758
1,within-player,6,2011,1329,1.0396410589
1,within-player,7,2011,1329,1.04220853004
1,within-player,8,2011,1329,1.03683762429
1,within-player,9,2011,1329,1.04555929257
1,within-player,10,2011,1329,1.04254368267
1,within-player,11,2011,1329,1.04334804716
1,within-player,12,2011,1329,1.04053958283
1,within-player,13,2011,1329,1.0333053591
1,within-player,14,2011,1329,1.03214787724
1,within-player,15,2011,1329,1.03812466692
1,within-player,16,2011,1329,1.04561902249
1,within-player,17,2011,1329,1.03585821659
1,within-player,18,2011,1329,1.04196588543
1,within-player,19,2011,1329,1.04344558526
1,base-rate-only,-1,2012,1335,1.05166599528
1,current-season-rate,-1,2012,1335,1.07337764948
1,historical-rate,-1,2012,1335,3.67340923334
1,no-vegas,-1,2012,1335,1.06584877215
1,player-vegas,-1,2012,1335,1.06026928902
1,random,0,2012,1335,2.4039924337
1,random,1,2012,1335,2.28923345802
1,random,2,2012,1335,2.35970660621
1,random,3,2012,1335,2.31635204753
1,random,4,2012,1335,2.42253251764
1,random,5,2012,1335,2.43759329158
1,random,6,2012,1335,2.48671001341
1,random,7,2012,1335,2.55854939447
1,random,8,2012,1335,2.54786572221
1,random,9,2012,1335,2.44802672723
1,random,10,2012,1335,2.44453088612
1,random,11,2012,1335,2.46785814741
1,random,12,2012,1335,2.47789620729
1,random,13,2012,1335,2.33643876335
1,random,14,2012,1335,2.42620767632
1,random,15,2012,1335,2.39374283835
1,random,16,2012,1335,2.35878718892
1,random,17,2012,1335,2.26985020788
1,random,18,2012,1335,2.29882616301
1,random,19,2012,1335,2.52728415363
1,regressed-rate,-1,2012,1335,1.08843231655
1,shipped,-1,2012,1335,1.06820556731
1,vegas-environment,-1,2012,1335,1.10330332561
1,within-player,0,2012,1335,1.09007118391
1,within-player,1,2012,1335,1.08493886589
1,within-player,2,2012,1335,1.0899290268
1,within-player,3,2012,1335,1.08852027598
1,within-player,4,2012,1335,1.08704334725
1,within-player,5,2012,1335,1.08068080385
1,within-player,6,2012,1335,1.0902951397
1,within-player,7,2012,1335,1.08893138689
1,within-player,8,2012,1335,1.08913010643
1,within-player,9,2012,1335,1.10300207448
1,within-player,10,2012,1335,1.09032220057
1,within-player,11,2012,1335,1.0979872695
1,within-player,12,2012,1335,1.07459622262
1,within-player,13,2012,1335,1.09396532106
1,within-player,14,2012,1335,1.0930984756
1,within-player,15,2012,1335,1.08207045823
1,within-player,16,2012,1335,1.08244680251
1,within-player,17,2012,1335,1.0814421595
1,within-player,18,2012,1335,1.08531511155
1,within-player,19,2012,1335,1.0777397294
1,base-rate-only,-1,2013,1362,1.04194010127
1,current-season-rate,-1,2013,1362,1.05709108083
1,historical-rate,-1,2013,1362,3.20608946791
1,no-vegas,-1,2013,1362,1.05315137731
1,player-vegas,-1,2013,1362,1.05874136552
1,random,0,2013,1362,2.55203380615
1,random,1,2013,1362,2.35950300526
1,random,2,2013,1362,2.54782128577
1,random,3,2013,1362,2.52381334712
1,random,4,2013,1362,2.53033259243
1,random,5,2013,1362,2.42174669787
1,random,6,2013,1362,2.55391074311
1,random,7,2013,1362,2.64976859972
1,random,8,2013,1362,2.50969600614
1,random,9,2013,1362,2.34165633529
1,random,10,2013,1362,2.45175909801
1,random,11,2013,1362,2.53803755875
1,random,12,2013,1362,2.54726572027
1,random,13,2013,1362,2.30872280576
1,random,14,2013,1362,2.4544449417
1,random,15,2013,1362,2.5215571105
1,random,16,2013,1362,2.59953531583
1,random,17,2013,1362,2.50001478661
1,random,18,2013,1362,2.48762578518
1,random,19,2013,1362,2.58227701387
1,regressed-rate,-1,2013,1362,1.08248650795
1,shipped,-1,2013,1362,1.0624360372
1,vegas-environment,-1,2013,1362,1.08957748895
1,within-player,0,2013,1362,1.08169953475
1,within-player,1,2013,1362,1.0801299656
1,within-player,2,2013,1362,1.07413770513
1,within-player,3,2013,1362,1.07157419633
1,within-player,4,2013,1362,1.09078243385
1,within-player,5,2013,1362,1.08937939466
1,within-player,6,2013,1362,1.07524589336
1,within-player,7,2013,1362,1.07142725331
1,within-player,8,2013,1362,1.07562844393
1,within-player,9,2013,1362,1.08977360048
1,within-player,10,2013,1362,1.07143563471
1,within-player,11,2013,1362,1.07698059946
1,within-player,12,2013,1362,1.08019975129
1,within-player,13,2013,1362,1.07446520024
1,within-player,14,2013,1362,1.07748202331
1,within-player,15,2013,1362,1.06796627284
1,within-player,16,2013,1362,1.07607048249
1,within-player,17,2013,1362,1.07843333178
1,within-player,18,2013,1362,1.081880724
1,within-player,19,2013,1362,1.07670592321
1,base-rate-only,-1,2014,1417,1.06158516821
1,current-season-rate,-1,2014,1417,1.10539872264
1,historical-rate,-1,2014,1417,2.33498040432
1,no-vegas,-1,2014,1417,1.06933391156
1,player-vegas,-1,2014,1417,1.05973129004
1,random,0,2014,1417,2.29949075383
1,random,1,2014,1417,2.14263679871
1,random,2,2014,1417,2.29207447763
1,random,3,2014,1417,2.17575621306
1,random,4,2014,1417,2.32518436921
1,random,5,2014,1417,2.42454066279
1,random,6,2014,1417,2.44433968482
1,random,7,2014,1417,2.49287121053
1,random,8,2014,1417,2.28250229203
1,random,9,2014,1417,2.15181421055
1,random,10,2014,1417,2.21705946466
1,random,11,2014,1417,2.33066606066
1,random,12,2014,1417,2.34361198839
1,random,13,2014,1417,2.26325053329
1,random,14,2014,1417,2.30405814683
1,random,15,2014,1417,2.3936829667
1,random,16,2014,1417,2.26863165721
1,random,17,2014,1417,2.36541674505
1,random,18,2014,1417,2.38408852327
1,random,19,2014,1417,2.39610744431
1,regressed-rate,-1,2014,1417,1.09544407896
1,shipped,-1,2014,1417,1.06390314116
1,vegas-environment,-1,2014,1417,1.12756923284
1,within-player,0,2014,1417,1.06585984209
1,within-player,1,2014,1417,1.06950267093
1,within-player,2,2014,1417,1.07086369107
1,within-player,3,2014,1417,1.07218800729
1,within-player,4,2014,1417,1.06863479442
1,within-player,5,2014,1417,1.07185145118
1,within-player,6,2014,1417,1.07457397262
1,within-player,7,2014,1417,1.07227614069
1,within-player,8,2014,1417,1.06701819101
1,within-player,9,2014,1417,1.0591020745
1,within-player,10,2014,1417,1.06399157396
1,within-player,11,2014,1417,1.07526217608
1,within-player,12,2014,1417,1.0633502278
1,within-player,13,2014,1417,1.06065316568
1,within-player,14,2014,1417,1.06285415666
1,within-player,15,2014,1417,1.06849179881
1,within-player,16,2014,1417,1.06957588325
1,within-player,17,2014,1417,1.06060850067
1,within-player,18,2014,1417,1.06514404972
1,within-player,19,2014,1417,1.07097404481
1,base-rate-only,-1,2015,1295,1.09507910133
1,current-season-rate,-1,2015,1295,1.09319233943
1,historical-rate,-1,2015,1295,2.82081638568
1,no-vegas,-1,2015,1295,1.07864368878
1,player-vegas,-1,2015,1295,1.10939123481
1,random,0,2015,1295,2.48023135834
1,random,1,2015,1295,2.25310221884
1,random,2,2015,1295,2.58036493201
1,random,3,2015,1295,2.39058209607
1,random,4,2015,1295,2.48264820274
1,random,5,2015,1295,2.48398750317
1,random,6,2015,1295,2.48802433288
1,random,7,2015,1295,2.53885213806
1,random,8,2015,1295,2.4858307356
1,random,9,2015,1295,2.28145382987
1,random,10,2015,1295,2.52583773047
1,random,11,2015,1295,2.44820597033
1,random,12,2015,1295,2.6365616527
1,random,13,2015,1295,2.35879160512
1,random,14,2015,1295,2.3220474578
1,random,15,2015,1295,2.60304506483
1,random,16,2015,1295,2.51154472487
1,random,17,2015,1295,2.42507665548
1,random,18,2015,1295,2.39971437293
1,random,19,2015,1295,2.35698045839
1,regressed-rate,-1,2015,1295,1.17792659621
1,shipped,-1,2015,1295,1.09192442917
1,vegas-environment,-1,2015,1295,1.13392812885
1,within-player,0,2015,1295,1.11177108432
1,within-player,1,2015,1295,1.11172355094
1,within-player,2,2015,1295,1.11546773805
1,within-player,3,2015,1295,1.10671869845
1,within-player,4,2015,1295,1.10360943214
1,within-player,5,2015,1295,1.10574000338
1,within-player,6,2015,1295,1.11364349102
1,within-player,7,2015,1295,1.106901718
1,within-player,8,2015,1295,1.11311458808
1,within-player,9,2015,1295,1.10966266191
1,within-player,10,2015,1295,1.1080484216
1,within-player,11,2015,1295,1.1107422805
1,within-player,12,2015,1295,1.10494008059
1,within-player,13,2015,1295,1.11238393588
1,within-player,14,2015,1295,1.11364162776
1,within-player,15,2015,1295,1.10627819616
1,within-player,16,2015,1295,1.11140081112
1,within-player,17,2015,1295,1.11249103549
1,within-player,18,2015,1295,1.10438732553
1,within-player,19,2015,1295,1.11829992692
1,base-rate-only,-1,2016,1655,1.04499118312
1,current-season-rate,-1,2016,1655,1.05907835809
1,historical-rate,-1,2016,1655,2.7787101281
1,no-vegas,-1,2016,1655,1.04878617824
1,player-vegas,-1,2016,1655,1.04852842158
1,random,0,2016,1655,2.24166270993
1,random,1,2016,1655,2.36974092077
1,random,2,2016,1655,2.57619041038
1,random,3,2016,1655,2.57569547261
1,random,4,2016,1655,2.28047134651
1,random,5,2016,1655,2.68288746429
1,random,6,2016,1655,2.40748059055
1,random,7,2016,1655,2.48491010257
1,random,8,2016,1655,2.29465883582
1,random,9,2016,1655,2.36941197096
1,random,10,2016,1655,2.42507037756
1,random,11,2016,1655,2.42608657817
1,random,12,2016,1655,2.36772699534
1,random,13,2016,1655,2.46532518452
1,random,14,2016,1655,2.42768244461
1,random,15,2016,1655,2.5243109919
1,random,16,2016,1655,2.45299664136
1,random,17,2016,1655,2.38607370426
1,random,18,2016,1655,2.21792429768
1,random,19,2016,1655,2.34586031867
1,regressed-rate,-1,2016,1655,1.10005940849
1,shipped,-1,2016,1655,1.04961689082
1,vegas-environment,-1,2016,1655,1.08595955431
1,within-player,0,2016,1655,1.06417680978
1,within-player,1,2016,1655,1.05837659671
1,within-player,2,2016,1655,1.07172922536
1,within-player,3,2016,1655,1.06624716344
1,within-player,4,2016,1655,1.05885577832
1,within-player,5,2016,1655,1.05525910235
1,within-player,6,2016,1655,1.0698055519
1,within-player,7,2016,1655,1.06080499404
1,within-player,8,2016,1655,1.05715864768
1,within-player,9,2016,1655,1.06644999863
1,within-player,10,2016,1655,1.06456315581
1,within-player,11,2016,1655,1.07415814168
1,within-player,12,2016,1655,1.06757230319
1,within-player,13,2016,1655,1.06884815376
1,within-player,14,2016,1655,1.07138855953
1,within-player,15,2016,1655,1.06671059377
1,within-player,16,2016,1655,1.06697330425
1,within-player,17,2016,1655,1.06065446966
