schema_version,model,seed,season,intercept,slope,se_intercept,se_slope,slope_lo,slope_hi,n,clusters,dropped_zero_lam
1,base-rate-only,-1,2011,-0.433858789397,1.02090861042,0.080672992233,0.0675498384537,0.888510927048,1.15330629379,5468,408,0
1,current-season-rate,-1,2011,-0.667868304009,0.903857342704,0.10181797333,0.094070716272,0.719478738811,1.0882359466,5468,408,0
1,historical-rate,-1,2011,-0.233205751571,0.895951237909,0.0746176322292,0.0775600068314,0.743933624519,1.0479688513,3058,206,2410
1,no-vegas,-1,2011,-0.0927572060352,0.89516355359,0.0525502950221,0.0496979487561,0.797755574029,0.992571533152,5468,408,0
1,player-vegas,-1,2011,-0.473421951738,0.989560306613,0.07340937572,0.0588674842678,0.874180037448,1.10494057578,5468,408,0
1,random,0,2011,-0.9136114524,0.210782117459,0.134455314303,0.0437259869715,0.125079182995,0.296485051923,5468,408,0
1,random,1,2011,-0.834153841229,0.260756021059,0.125963830487,0.041954455668,0.17852528795,0.342986754169,5468,408,0
1,random,2,2011,-1.01834358491,0.147666122043,0.131157859102,0.0404245758979,0.0684339532835,0.226898290803,5468,408,0
1,random,3,2011,-0.961331029135,0.181659128233,0.144181301353,0.0463280169929,0.0908562149268,0.272462041539,5468,408,0
1,random,4,2011,-0.870846523432,0.237452520353,0.122898287358,0.0383164113216,0.162352354163,0.312552686544,5468,408,0
1,random,5,2011,-1.05563702271,0.125887158444,0.13481940124,0.0409744882986,0.0455771613784,0.206197155509,5468,408,0
1,random,6,2011,-1.11600629489,0.0913089996697,0.126102408047,0.037693025912,0.0174306688823,0.165187330457,5468,408,0
1,random,7,2011,-1.01915826628,0.147187781976,0.12252711977,0.037760045526,0.0731780927451,0.221197471207,5468,408,0
1,random,8,2011,-0.999520804952,0.158785990956,0.136434266474,0.0424565810958,0.0755710920078,0.242000889903,5468,408,0
1,random,9,2011,-0.903178934696,0.217191531711,0.132705228599,0.0456506454728,0.127716266584,0.306666796838,5468,408,0
1,random,10,2011,-0.922669137281,0.205213061001,0.14106887494,0.0498638881696,0.107479840188,0.302946281813,5468,408,0
1,random,11,2011,-1.08283640928,0.110202185583,0.137878535784,0.0446320327085,0.0227234014742,0.197680969691,5468,408,0
1,random,12,2011,-1.0260427647,0.14313616303,0.127124758389,0.0389306208995,0.0668321460669,0.219440179993,5468,408,0
1,random,13,2011,-0.944657249484,0.191746678725,0.123904813825,0.0371122909129,0.119006588536,0.264486768914,5468,408,0
1,random,14,2011,-0.903194567841,0.217214190267,0.128018849186,0.0395141322514,0.139766491055,0.29466188948,5468,408,0
1,random,15,2011,-1.00638232281,0.154720710586,0.138659083195,0.0442631282713,0.0679649791744,0.241476441998,5468,408,0
1,random,16,2011,-0.908366904728,0.214034097748,0.136160748286,0.0443968810907,0.12701621081,0.301051984686,5468,408,0
1,random,17,2011,-0.968404236689,0.177377275858,0.144800346687,0.0492732544317,0.0808016971718,0.273952854544,5468,408,0
1,random,18,2011,-0.879373078608,0.232042417434,0.148755392095,0.0544289968635,0.125361583581,0.338723251286,5468,408,0
1,random,19,2011,-0.961662214146,0.181441266527,0.125336463261,0.0409133125828,0.101251173865,0.261631359189,5468,408,0
1,regressed-rate,-1,2011,-0.475707049454,1.02721610915,0.0952930338279,0.0879728229155,0.85478937624,1.19964284207,5468,408,0
1,shipped,-1,2011,-0.135143226822,0.871192910438,0.0431910406084,0.0453739602613,0.782259948326,0.960125872551,5468,408,0
1,vegas-environment,-1,2011,-0.130433367545,1.07361838041,0.0761099184502,0.0816362042635,0.913611420051,1.23362534076,5468,408,0
1,within-player,0,2011,-0.144093148799,0.86429621377,0.0434442159618,0.0452024952405,0.775699323098,0.952893104441,5468,408,0
1,within-player,1,2011,-0.137860816471,0.865964018001,0.0436412553938,0.0452544890072,0.777265219547,0.954662816456,5468,408,0
1,within-player,2,2011,-0.144620380948,0.864024000396,0.0431860515262,0.0445895052832,0.776628570041,0.951419430751,5468,408,0
1,within-player,3,2011,-0.146029050392,0.864982253768,0.0437651369373,0.0454252415571,0.775948780316,0.95401572722,5468,408,0
1,within-player,4,2011,-0.146940638984,0.862784392829,0.0432715063697,0.0447667886719,0.775041487032,0.950527298626,5468,408,0
1,within-player,5,2011,-0.141443471814,0.863980087014,0.043037292129,0.0451311599389,0.775523013534,0.952437160495,5468,408,0
1,within-player,6,2011,-0.140577904161,0.864611286335,0.0428899988191,0.0450519863138,0.77630939316,0.95291317951,5468,408,0
1,within-player,7,2011,-0.142921870991,0.864434055165,0.043836635929,0.04550053559,0.775253005409,0.953615104922,5468,408,0
1,within-player,8,2011,-0.139651698356,0.869961210638,0.0433176809692,0.045457046324,0.780865399843,0.959057021432,5468,408,0
1,within-player,9,2011,-0.148817001775,0.859098443501,0.044010444455,0.0454194741777,0.770076274113,0.948120612889,5468,408,0
1,within-player,10,2011,-0.141162042187,0.864464362064,0.0440723650216,0.045344200706,0.775589728681,0.953338995448,5468,408,0
1,within-player,11,2011,-0.145628611134,0.862238873634,0.0436809241399,0.0448735361754,0.77428674273,0.950191004538,5468,408,0
1,within-player,12,2011,-0.140032414489,0.864387821821,0.0434684463745,0.0450369118834,0.77611547453,0.952660169113,5468,408,0
1,within-player,13,2011,-0.14045056257,0.868516101176,0.0429575813013,0.0453709682606,0.779589003385,0.957443198966,5468,408,0
1,within-player,14,2011,-0.134010262861,0.8711544334,0.042990670979,0.0457749422162,0.781435546656,0.960873320144,5468,408,0
1,within-player,15,2011,-0.141556673387,0.865932652795,0.0442506180853,0.0461408744884,0.775496538797,0.956368766792,5468,408,0
1,within-player,16,2011,-0.141121186891,0.863162331389,0.0437358038364,0.0456414256758,0.773705137065,0.952619525714,5468,408,0
1,within-player,17,2011,-0.141036941354,0.866081042068,0.0432658217051,0.0450003180338,0.777880418722,0.954281665415,5468,408,0
1,within-player,18,2011,-0.14069069074,0.86499549846,0.0436069142774,0.0447861386849,0.777214666637,0.952776330282,5468,408,0
1,within-player,19,2011,-0.144729683502,0.863936225241,0.0431951626036,0.0452046012098,0.77533520687,0.952537243612,5468,408,0
1,base-rate-only,-1,2012,-0.465960348189,0.988584010079,0.0783392414332,0.0605676516378,0.869871412869,1.10729660729,5456,407,0
1,current-season-rate,-1,2012,-0.679593560653,0.890245727772,0.100697114389,0.0889628051941,0.715878629592,1.06461282595,5456,407,0
1,historical-rate,-1,2012,-0.339434588359,0.864214083441,0.0673239722387,0.0646630236514,0.737474557084,0.990953609797,2894,197,2562
1,no-vegas,-1,2012,-0.0934934041876,0.901115237343,0.0509374801906,0.036064144616,0.830429513895,0.97180096079,5456,407,0
1,player-vegas,-1,2012,-0.493993389172,0.972350712784,0.0732267451431,0.0544989422251,0.865532786023,1.07916863955,5456,407,0
1,random,0,2012,-0.951087737473,0.187770429517,0.132533364647,0.0442686933748,0.101003790503,0.274537068532,5456,407,0
1,random,1,2012,-0.859269724836,0.243964977352,0.126167730094,0.0417660455257,0.162103528121,0.325826426582,5456,407,0
1,random,2,2012,-0.906991415467,0.214413620491,0.128972747958,0.0397181898305,0.136565968423,0.292261272558,5456,407,0
1,random,3,2012,-0.916968507497,0.208346697024,0.141676458255,0.0458330886485,0.118513843273,0.298179550775,5456,407,0
1,random,4,2012,-0.928253475594,0.20150007704,0.126679693694,0.0392610443716,0.124548430071,0.278451724008,5456,407,0
1,random,5,2012,-0.880698351943,0.230628477461,0.132355703989,0.0426198312802,0.147093608152,0.31416334677,5456,407,0
1,random,6,2012,-1.0179552083,0.148296628073,0.138896153408,0.0433926668591,0.063247001029,0.233346255117,5456,407,0
1,random,7,2012,-1.01077615163,0.152479174151,0.136975387485,0.0443189177628,0.0656140953355,0.239344252966,5456,407,0
1,random,8,2012,-1.05473985351,0.127079680106,0.141645133623,0.0458264499801,0.0372598381452,0.216899522067,5456,407,0
1,random,9,2012,-0.907507370774,0.214094024613,0.12609553798,0.0386149014209,0.138408817828,0.289779231398,5456,407,0
1,random,10,2012,-0.951825282158,0.187308693851,0.126316937758,0.0366764415163,0.115422868479,0.259194519223,5456,407,0
1,random,11,2012,-0.928788593349,0.201165760073,0.125132845446,0.0391608833639,0.124410428679,0.277921091466,5456,407,0
1,random,12,2012,-0.961053859765,0.181795871042,0.132889051871,0.0414808533023,0.100493398569,0.263098343515,5456,407,0
1,random,13,2012,-0.846688556978,0.251882334887,0.128695509621,0.0413595018371,0.170817711286,0.332946958488,5456,407,0
1,random,14,2012,-0.971894078324,0.17535331604,0.130325963224,0.0385439680687,0.0998071386258,0.250899493455,5456,407,0
1,random,15,2012,-0.982720848066,0.168939373035,0.132797102817,0.0415697422189,0.0874626782856,0.250416067784,5456,407,0
1,random,16,2012,-0.91935342658,0.206883420093,0.137455773107,0.0436870350101,0.121256831473,0.292510008712,5456,407,0
1,random,17,2012,-0.86712978756,0.23904530022,0.141321793125,0.0480982348401,0.144772759933,0.333317840507,5456,407,0
1,random,18,2012,-0.88874311384,0.225646046503,0.133396010335,0.0410226143152,0.145241722445,0.306050370561,5456,407,0
1,random,19,2012,-1.03457571637,0.138664027881,0.136770557599,0.0445700490644,0.051306731715,0.226021324047,5456,407,0
1,regressed-rate,-1,2012,-0.507390751917,0.979985781925,0.0859051573647,0.0698744379172,0.843031883608,1.11693968024,5456,407,0
